id,question,choices,choices_list,question_concept,answerKey,answer_word,question_orthographic_noise,questionchatgpt_variations
1afa02df02c908a558b4036e80242fac,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}","['bank', 'library', 'department store', 'mall', 'new york']",revolving door,A,bank,"{'0': 'A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?', '0.005': 'A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?', '0.01': 'A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?', '0.015': 'A revolving door is convenient for two direction travel, but it also serVes as a security measure at abwhat?', '0.02': 'A Fevolving door is convenient for two dorYction travelr but it also serves as a security measure at a what?', '0.025': 'A revolving door is convenient for two direStion travel, but it Clso sFrvts as a security measure at a what?', '0.03': 'A rVvolving door is convenient for two direction travel, but it also ierves as a seEurity measure at a wRatO', '0.05': 'A revolving door is conJenitnt for two direction travel, yut it also serves as a secuRity measure at n what?', '0.1': 'A retMlvingRdoor is convenMenO for two direction travel, but Pt jlsf servesUas a security measure at a wJat?', '0.2': 'ABrevolvina voorRis Voncenient for two directWnn tyavel, but it also servcsKasya sedubltO meadure at i qhat?'}","{'A1': 'What is a revolving door for?', 'A2': 'Where can you find a revolving door?', 'B1': 'What is the purpose of a revolving door?', 'B2': 'Why are revolving doors useful?', 'C1': 'What function does a revolving door serve apart from facilitating two-way travel?', 'C2': 'In addition to facilitating two-way traffic, what other purpose does a revolving door serve?'}"
a7ab086045575bb497933726e4e6ad28,What do people aim to do at work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['complete job', 'learn from each other', 'kill animals',
       'wear hats', 'talk to each other'], dtype=object)}","['complete job', 'learn from each other', 'kill animals', 'wear hats', 'talk to each other']",people,A,complete job,"{'0': 'What do people aim to do at work?', '0.005': 'What do people aim to do at work?', '0.01': 'What do people aim to do atMwork?', '0.015': 'What do people aim to do atwwork?', '0.02': 'What do people aim to do at work?', '0.025': 'What do peopYe aim to do at work?', '0.03': 'What do people aim to do at worz?', '0.05': 'What do people aim to do at work?', '0.1': 'What docpeocZe xim to do Jt work?', '0.2': 'What do peopEe aim to doyat wxMk?'}","{'A1': 'What do people do at work?', 'A2': 'What is the goal of working?', 'B1': 'What is the objective of people when they are at work?', 'B2': 'What is the primary aim of individuals in their workplace?', 'C1': 'What is the typical purpose of individuals in a professional environment?', 'C2': ""What is the intended outcome of people's activities in a work setting?""}"
b8c0a4703079cf661d7261a60a1bcbff,Where would you find magazines along side many other printed works?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}","['doctor', 'bookstore', 'market', 'train station', 'mortuary']",magazines,B,bookstore,"{'0': 'Where would you find magazines along side many other printed works?', '0.005': 'Where would you find magazbnes along side many other printed works?', '0.01': 'Where would you find Eagazines aTong side many other printed works?', '0.015': 'Where would you find magazines along side many other printed works?', '0.02': 'Where would you find magazines along side many other prTnted wopks?', '0.025': 'Where would you find magazines along side many other dqinted works?', '0.03': 'Where would you find magazinzs along side many other printed works?', '0.05': 'Where wvuld you fidd magazinesAilong sidZ many other pKinted works?', '0.1': 'Where wourdbyou fisd magazineJ along sidR many other printed works?', '0.2': 'WpUreOcpuldTycu fiod magazines along side many otherNLrinteS worts?'}","{'A1': 'Where can you see magazines and other printed materials together?', 'A2': 'Where can magazines be found along with other printed items?', 'B1': 'In what place would you locate magazines alongside various printed materials?', 'B2': 'Where can one find magazines in addition to other printed publications?', 'C1': 'Where might one find a collection of magazines and other printed materials?', 'C2': 'In what location are magazines typically found alongside other printed works?'}"
e68fb2448fd74e402aae9982aa76e527,Where are  you likely to find a hamburger?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fast food restaurant', 'pizza', 'ground up dead cows', 'mouth',
       'cow carcus'], dtype=object)}","['fast food restaurant', 'pizza', 'ground up dead cows', 'mouth', 'cow carcus']",hamburger,A,fast food restaurant,"{'0': 'Where are  you likely to find a hamburger?', '0.005': 'Where are  you likely toJfind a hamburger?', '0.01': 'Where are  you likely to find a hamburger?', '0.015': 'Where are  you likely to find a hamburger?', '0.02': 'Where are  yru likely to find a hamburger?', '0.025': 'Where arF  you likely to findWT hamburger?', '0.03': 'Where are  you likely to find a hamburger?', '0.05': 'Wheje awe  yom likely to ciod a hamburger?', '0.1': 'Wherw aUe  yAu likeIy to Dind a hamburger?', '0.2': 'Where aul  yau likely gokfRnLOQYhxabuegerz'}","{'A1': 'Where can you get a hamburger?', 'A2': 'Where is it common to find hamburgers?', 'B1': 'In which places are hamburgers usually available?', 'B2': 'Where is the typical location for finding a hamburger?', 'C1': 'Where is it probable to encounter a hamburger?', 'C2': 'Where is a hamburger most likely to be found?'}"
2435de612dd69f2012b9e40d6af4ce38,James was looking for a good place to buy farmland.  Where might he look?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['midwest', 'countryside', 'estate', 'farming areas', 'illinois'],
      dtype=object)}","['midwest', 'countryside', 'estate', 'farming areas', 'illinois']",farmland,A,midwest,"{'0': 'James was looking for a good place to buy farmland.  Where might he look?', '0.005': 'James was looking for a good place to buy farmland.  Where might he look?', '0.01': 'James was looking for a good place to buy farmland.  Where might he look?', '0.015': 'James was qooking for a gFod placp to buy farmland.  Where might he look?', '0.02': 'James was looking for a good place to buy farmland.  Where might he look?', '0.025': 'James was looking for a goph place to buy farmland.  Where might he look?', '0.03': 'James was lAokrng for a goodVplace to Buy farmland.  Where might he lcok?', '0.05': 'dames was looking for a good place toGbuy farmland.  WhYre might he look?', '0.1': 'James was lBokink for G good place to buy farmlanV.  Where RigXt he look?', '0.2': 'FamesBvUsklozking gor a good plaxeYpo buy fIrDlYnd.  Where miLht hG look?'}","{'A1': 'Where can James search for farmland?', 'A2': 'Where should James search if he wants to buy farmland?', 'B1': 'Where would be a good place for James to search for farmland?', 'B2': 'If James wants to purchase farmland, where should he consider looking?', 'C1': 'In what locations should James explore to find suitable farmland?', 'C2': 'Where are potential locations for James to search for farmland?'}"
a4892551cb4beb279653ae52d0de4c89,What island country is ferret popular?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'north carolina', 'great britain', 'hutch', 'outdoors'],
      dtype=object)}","['own home', 'north carolina', 'great britain', 'hutch', 'outdoors']",ferret,C,great britain,"{'0': 'What island country is ferret popular?', '0.005': 'What island country is ferret popular?', '0.01': 'What island country is ferret popular?', '0.015': 'What island country is ferret popular?', '0.02': 'Whatvisland cruntry is ferret popular?', '0.025': 'What island country is ferret populWr?', '0.03': 'What island country is ferret popular?', '0.05': 'What island country is ferret popular?', '0.1': 'WhatOisaand country is ferlet popular?', '0.2': 'Qhat isaanN cogntryZie Cerret pRpulers'}","{'A1': 'What island country likes ferrets?', 'A2': 'Which island country has a fondness for ferrets?', 'B1': 'In which island country are ferrets popular?', 'B2': 'Which island nation has a notable affinity for ferrets?', 'C1': 'Which island country has a significant population of ferret enthusiasts?', 'C2': 'In what island nation is the ferret a beloved pet?'}"
118a9093a30695622363455e4d911866,In what Spanish speaking North American country can you get a great cup of coffee?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""mildred's coffee shop"", 'mexico', 'diner', 'kitchen', 'canteen'],
      dtype=object)}","[""mildred's coffee shop"", 'mexico', 'diner', 'kitchen', 'canteen']",cup of coffee,B,mexico,"{'0': 'In what Spanish speaking North American country can you get a great cup of coffee?', '0.005': 'In what Spanish speaking North American country can you get a great cup of coffee?', '0.01': 'In what SpanFsh speaking North American country can you get a great cup of coffee?', '0.015': 'In what SpaniSh speAking North American country can you get a greatNcup of coffee?', '0.02': 'In what Spanish speaking North American coKntry can you get a grpat cup of coffee?', '0.025': 'In what Spanish speaking NoBth Amerkcan country can you getPa great cup of coffee?', '0.03': 'In what SpaniMr speaking North American country can you get a great cup of coffee?', '0.05': 'In wHat Spanish speakKng North American country can you netRa great cup of coffee?', '0.1': 'In whatOSpanish speakiyg North Amerscan country can you Oet a great cuN of coffee?', '0.2': 'IiJwAht SpanZshgszeaking NoEth AmHricyn cHunxrShHahIyouAget a great cup ob cdffee?'}","{'A1': 'Where can you find good coffee?', 'A2': 'In which North American country can you get excellent coffee?', 'B1': 'Which Spanish-speaking North American country is known for its great coffee?', 'B2': 'Where in North America, specifically a Spanish-speaking country, can you find exceptional coffee?', 'C1': 'In which Spanish-speaking North American nation can one procure a superb cup of coffee?', 'C2': 'Which North American country, where Spanish is spoken, is renowned for its high-quality coffee?'}"
05ea49b82e8ec519e82d6633936ab8bf,What do animals do when an enemy is approaching?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel pleasure', 'procreate', 'pass water', 'listen to each other',
       'sing'], dtype=object)}","['feel pleasure', 'procreate', 'pass water', 'listen to each other', 'sing']",animals,D,listen to each other,"{'0': 'What do animals do when an enemy is approaching?', '0.005': 'What do animals do when an enemy is approaching?', '0.01': 'What do animals do when an enemy is approaching?', '0.015': 'WhaR do animals do when an enemy is approaching?', '0.02': 'What do animals do when an eCemy is approachiOg?', '0.025': 'What do animals do when an enemyQis approaching?', '0.03': 'What do animals do when an enemy is approachFng?', '0.05': 'What do animala dotwhen Tn enymy is approaching?', '0.1': 'What do animals do whxn an enemy is approaUhing?', '0.2': 'WjGtrdb gfimaEr do wyen an eremy is approaceing?'}","{'A1': 'What do animals do when a threat comes?', 'A2': 'What is the response of animals when they sense an approaching enemy?', 'B1': 'How do animals react when they perceive an enemy approaching?', 'B2': 'What behaviors do animals exhibit when they detect an approaching threat?', 'C1': 'What actions do animals take upon detecting the approach of an adversary?', 'C2': 'How do animals typically respond when they become aware of an approaching foe?'}"
c0c07ce781653b2a2c01871ba2bcba93,Reading newspaper one of many ways to practice your what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}","['literacy', 'knowing how to read', 'money', 'buying', 'money bank']",reading newspaper,A,literacy,"{'0': 'Reading newspaper one of many ways to practice your what?', '0.005': 'Reading newspaper one of many ways to practice your what?', '0.01': 'Reading newspaaer one of many ways to practice your what?', '0.015': 'Reading newspaper one of many ways to practice your what?', '0.02': 'Reading newspaper Vne of many ways to practice nour what?', '0.025': 'Reading newspaper one of many ways to practice Eour what?', '0.03': 'Reading newspaper one of many ways to practiceuyour what?', '0.05': 'Reading newspaper one of many Waym to practQce your what?', '0.1': 'Reading newspaper Mne ofnmany ways to pPPctice yourywhat?', '0.2': 'xxadNng nepspaxer one Af manyXwacs to practYce Gour wYat?'}","{'A1': 'Why do people read newspapers?', 'A2': 'What is one reason people read newspapers?', 'B1': 'What skill can you practice by reading newspapers?', 'B2': 'In what way does reading newspapers help you develop a skill?', 'C1': 'How does reading newspapers contribute to improving a particular skill?', 'C2': 'What aspect of proficiency can be enhanced through reading newspapers?'}"
1d24f406b6828492040b405d3f35119c,What do people typically do while playing guitar?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cry', 'hear sounds', 'singing', 'arthritis', 'making music'],
      dtype=object)}","['cry', 'hear sounds', 'singing', 'arthritis', 'making music']",playing guitar,C,singing,"{'0': 'What do people typically do while playing guitar?', '0.005': 'What do people typically do while playing guitar?', '0.01': 'What do people typically do while playing guitar?', '0.015': 'What do people typically do while playing guitar?', '0.02': 'What do people typically do while playing guitar?', '0.025': 'What do people typHcally do whLle playing guitYr?', '0.03': 'What do people typically do while playing guitar?', '0.05': 'What do people typically do while playing guitars', '0.1': 'that do People Lypically dC while playing bNitar?', '0.2': 'What wHQpeJpleucypiRaElDhdw nhile playiog guitar?'}","{'A1': 'What do people do when they play guitar?', 'A2': 'What activities usually accompany playing the guitar?', 'B1': 'During guitar playing, what are people likely to do?', 'B2': 'What are the common actions performed while playing the guitar?', 'C1': 'What are the typical behaviors exhibited during guitar playing?', 'C2': 'What actions do people commonly engage in while playing the guitar?'}"
